"modelo","significativo","variable","beta","sd","lower95","upper95","FOI"
"23_dens_temp_inter","Yes","dens_x_temp",-0.10893319927321,0.0103305705929552,-0.129223184197015,-0.0887216858861084,"constante"
"23_dens_temp_inter","Yes","pop_dens_z",0.120449837081384,0.0110886825933193,0.0987485853465675,0.142227149327317,"constante"
"23_dens_temp_inter","Yes","temp_lag",0.206053912119458,0.00425451693618671,0.197705299941169,0.214390415526444,"constante"
"24_dens_prec_inter","Yes","dens_x_prec",-0.0861748012180906,0.00643311838663179,-0.0987861649468844,-0.0735532965503856,"constante"
"24_dens_prec_inter","Yes","pop_dens_z",-0.123814107054342,0.00925212242487097,-0.141951532712826,-0.105661778520675,"constante"
"24_dens_prec_inter","Yes","prec_lag",-0.23445083000317,0.0052407679614857,-0.244723345062391,-0.224167651328451,"constante"
"25_climate_inter_tp","Yes","hum_lag",0.0186794816556625,0.00521392103277936,0.00845369008093163,0.0289041433047959,"constante"
"25_climate_inter_tp","Yes","prec_lag",-0.120773624949181,0.00323728860545673,-0.127121890905557,-0.114424133828119,"constante"
"25_climate_inter_tp","Yes","temp_lag",0.117537128869948,0.00391361209357469,0.109861351121385,0.125211775426865,"constante"
"25_climate_inter_tp","Yes","temp_x_prec",-0.0139541647647849,0.0037724446632815,-0.0213539790320962,-0.00655715383303965,"constante"
"27_dens_inter_dt","Yes","dens_x_temp",0.0195567693678622,0.00637133383133924,0.00706834229752036,0.0320592617011935,"constante"
"27_dens_inter_dt","Yes","hum_lag",0.0122565710092247,0.00459835380759557,0.0032385622076597,0.0212747714031624,"constante"
"27_dens_inter_dt","Yes","pop_dens_z",-0.0691411768408329,0.00732062701983586,-0.0835071014664674,-0.0547927348915075,"constante"
"27_dens_inter_dt","Yes","prec_lag",-0.153900364106943,0.00290545035105971,-0.159597732154139,-0.14820161136795,"constante"
"27_dens_inter_dt","Yes","temp_lag",0.133461964377095,0.00338082015343258,0.126831017843211,0.140091695630178,"constante"
"28_all_temp","Yes","hum_lag",0.0132112125584299,0.00460239311626658,0.00418604962242339,0.0222381221933157,"constante"
"28_all_temp","Yes","pop_dens_z",-0.0477687064550876,0.00226314753578182,-0.0522058400340874,-0.0433289787060521,"constante"
"28_all_temp","Yes","prec_lag",-0.150540266810633,0.00270039210359659,-0.155835790802377,-0.145243916372204,"constante"
"28_all_temp","Yes","temp_lag",0.138052909540028,0.00304090021785081,0.13208833008004,0.144015741786584,"constante"
"29_all_elev","Yes","elevation_z",-0.123541306300954,0.0022720419166165,-0.127997607996826,-0.11908589092797,"constante"
"29_all_elev","Yes","hum_lag",0.0171690825864657,0.0039515882562023,0.00941763422571058,0.0249170669938206,"constante"
